,ano,mes,descrição da despesa,Valor Anual Previsto na LOA,valor mensal empenhado,Valor Acumulado
24,2020,dez,TOTAIS,"8.928.901.538,00","827.495.493,34","9.034.193.166,76"
0,2020,nov,LEGISLATIVA,"197.170.103,00","12.964.884,04","168.315.570,92"
1,2020,nov,JUDICIARIA,"51.791.968,00","4.579.050,31","42.285.958,89"
2,2020,nov,ESSENCIAL A JUSTICA,"648.337,00","46.457,00","156.909,35"
3,2020,nov,ADMINISTRACAO,"853.279.763,00","108.143.460,73","723.501.171,84"
4,2020,nov,SEGURANCA PUBLICA,"301.187.464,00","41.598.659,85","285.950.751,21"
5,2020,nov,ASSISTENCIA SOCIAL,"138.367.751,00","27.129.534,47","148.448.460,40"
6,2020,nov,PREVIDENCIA SOCIAL,"938.769.643,00","83.884.444,65","899.582.954,39"
7,2020,nov,SAUDE,"2.541.830.300,00","175.289.518,74","2.685.072.183,19"
8,2020,nov,TRABALHO,"7.624.501,00","320.967,77","7.275.172,77"
9,2020,nov,EDUCACAO,"1.941.911.709,00","182.511.315,48","1.572.313.425,12"
10,2020,nov,CULTURA,"192.225.384,00","14.547.099,69","117.853.297,82"
11,2020,nov,DIREITOS DA CIDADANIA,"73.148.022,00","6.561.195,87","45.073.426,70"
12,2020,nov,URBANISMO,"977.024.775,00","178.171.244,01","1.001.838.170,04"
13,2020,nov,HABITACAO,"79.727.082,00","1.755.974,10","16.900.700,22"
14,2020,nov,SANEAMENTO,"40.777.500,00","6.090.258,50","50.324.588,62"
15,2020,nov,GESTAO AMBIENTAL,"84.370.068,00","5.981.232,03","62.810.528,26"
16,2020,nov,CIENCIA E TECNOLOGIA,"9.531.810,00","786.693,48","7.164.515,02"
17,2020,nov,AGRICULTURA,"201.339,00","0,00","0,00"
18,2020,nov,COMERCIO E SERVICOS,"8.041.870,00","283.100,31","3.782.224,25"
19,2020,nov,COMUNICACOES,"9.879.000,00","42.370,86","10.439.397,68"
20,2020,nov,ENERGIA,"65.004.000,00","7.034.236,41","59.201.000,00"
21,2020,nov,DESPORTO E LAZER,"42.180.235,00","2.967.695,62","24.106.486,39"
22,2020,nov,ENCARGOS ESPECIAIS,"373.876.914,00","40.524.313,27","274.300.780,34"
23,2020,nov,RESERVA DE CONTINGENCIA,"332.000,00","0,00","0,00"
24,2020,nov,TOTAIS,"8.928.901.538,00","901.213.707,19","8.206.697.673,42"
0,2020,out,LEGISLATIVA,"197.170.103,00","10.069.211,47","155.350.686,88"
1,2020,out,JUDICIARIA,"51.791.968,00","3.751.561,21","37.706.908,58"
2,2020,out,ESSENCIAL A JUSTICA,"648.337,00","29.214,80","110.452,35"
3,2020,out,ADMINISTRACAO,"853.279.763,00","65.074.966,39","615.357.711,11"
4,2020,out,SEGURANCA PUBLICA,"301.187.464,00","21.504.257,86","244.352.091,36"
5,2020,out,ASSISTENCIA SOCIAL,"138.367.751,00","12.477.863,00","121.318.925,93"
6,2020,out,PREVIDENCIA SOCIAL,"938.769.643,00","94.238.975,20","815.698.509,74"
7,2020,out,SAUDE,"2.541.830.300,00","192.638.944,21","2.509.782.664,45"
8,2020,out,TRABALHO,"7.624.501,00","99.799,84","6.954.205,00"
9,2020,out,EDUCACAO,"1.941.911.709,00","128.151.850,60","1.389.802.109,64"
10,2020,out,CULTURA,"192.225.384,00","8.434.005,43","103.306.198,13"
11,2020,out,DIREITOS DA CIDADANIA,"73.148.022,00","6.229.835,84","38.512.230,83"
12,2020,out,URBANISMO,"977.024.775,00","98.379.169,54","823.666.926,03"
13,2020,out,HABITACAO,"79.727.082,00","2.590.265,32","15.144.726,12"
14,2020,out,SANEAMENTO,"40.777.500,00","14.780.680,82","44.234.330,12"
15,2020,out,GESTAO AMBIENTAL,"84.370.068,00","5.203.255,05","56.829.296,23"
16,2020,out,CIENCIA E TECNOLOGIA,"9.531.810,00","1.345.528,84","6.377.821,54"
17,2020,out,AGRICULTURA,"201.339,00","0,00","0,00"
18,2020,out,COMERCIO E SERVICOS,"8.041.870,00","313.398,57","3.499.123,94"
19,2020,out,COMUNICACOES,"9.879.000,00","3.743.552,72","10.397.026,82"
20,2020,out,ENERGIA,"65.004.000,00","0,00","52.166.763,59"
21,2020,out,DESPORTO E LAZER,"42.180.235,00","2.274.403,73","21.138.790,77"
22,2020,out,ENCARGOS ESPECIAIS,"373.876.914,00","12.528.637,71","233.776.467,07"
23,2020,out,RESERVA DE CONTINGENCIA,"332.000,00","0,00","0,00"
24,2020,out,TOTAIS,"8.928.901.538,00","683.859.378,15","7.305.483.966,23"
0,2020,set,LEGISLATIVA,"197.170.103,00","8.705.388,39","145.281.475,41"
1,2020,set,JUDICIARIA,"51.791.968,00","3.675.285,95","33.955.347,37"
2,2020,set,ESSENCIAL A JUSTICA,"648.337,00","61.178,09","81.237,55"
3,2020,set,ADMINISTRACAO,"853.279.763,00","61.282.644,84","550.282.744,72"
4,2020,set,SEGURANCA PUBLICA,"301.187.464,00","25.549.614,43","222.847.833,50"
5,2020,set,ASSISTENCIA SOCIAL,"138.367.751,00","11.923.115,87","108.841.062,93"
6,2020,set,PREVIDENCIA SOCIAL,"938.769.643,00","78.741.070,26","721.459.534,54"
7,2020,set,SAUDE,"2.541.830.300,00","217.545.888,15","2.317.143.720,24"
8,2020,set,TRABALHO,"7.624.501,00","502.753,63","6.854.405,16"
9,2020,set,EDUCACAO,"1.941.911.709,00","127.615.496,44","1.261.650.259,04"
10,2020,set,CULTURA,"192.225.384,00","4.297.904,15","94.872.192,70"
11,2020,set,DIREITOS DA CIDADANIA,"73.148.022,00","4.083.407,41","32.282.394,99"
12,2020,set,URBANISMO,"977.024.775,00","99.405.769,47","725.287.756,49"
13,2020,set,HABITACAO,"79.727.082,00","1.267.005,51","12.554.460,80"
14,2020,set,SANEAMENTO,"40.777.500,00","822.883,15","29.453.649,30"
15,2020,set,GESTAO AMBIENTAL,"84.370.068,00","5.178.538,09","51.626.041,18"
16,2020,set,CIENCIA E TECNOLOGIA,"9.531.810,00","440.999,72","5.032.292,70"
17,2020,set,AGRICULTURA,"201.339,00","0,00","0,00"
18,2020,set,COMERCIO E SERVICOS,"8.041.870,00","270.186,71","3.185.725,37"
19,2020,set,COMUNICACOES,"9.879.000,00","925.087,77","6.653.474,10"
20,2020,set,ENERGIA,"65.004.000,00","801.979,73","52.166.763,59"
21,2020,set,DESPORTO E LAZER,"42.180.235,00","2.164.356,94","18.864.387,04"
22,2020,set,ENCARGOS ESPECIAIS,"373.876.914,00","7.182.812,27","221.247.829,36"
23,2020,set,RESERVA DE CONTINGENCIA,"332.000,00","0,00","0,00"
24,2020,set,TOTAIS,"8.928.901.538,00","662.443.366,97","6.621.624.588,08"
0,2020,ago,LEGISLATIVA,"197.170.103,00","12.066.465,59","136.576.087,02"
1,2020,ago,JUDICIARIA,"51.791.968,00","4.638.781,79","30.280.061,42"
2,2020,ago,ESSENCIAL A JUSTICA,"648.337,00","7.604,00","20.059,46"
3,2020,ago,ADMINISTRACAO,"853.279.763,00","63.264.583,88","489.000.099,88"
4,2020,ago,SEGURANCA PUBLICA,"301.187.464,00","28.379.972,42","197.298.219,07"
5,2020,ago,ASSISTENCIA SOCIAL,"138.367.751,00","12.967.725,23","96.917.947,06"
6,2020,ago,PREVIDENCIA SOCIAL,"938.769.643,00","106.977.579,65","642.718.464,28"
7,2020,ago,SAUDE,"2.541.830.300,00","196.865.804,15","2.099.597.832,09"
8,2020,ago,TRABALHO,"7.624.501,00","378.805,00","6.351.651,53"
9,2020,ago,EDUCACAO,"1.941.911.709,00","144.192.074,47","1.134.034.762,60"
10,2020,ago,CULTURA,"192.225.384,00","2.954.747,27","90.574.288,55"
11,2020,ago,DIREITOS DA CIDADANIA,"73.148.022,00","4.057.334,49","28.198.987,58"
12,2020,ago,URBANISMO,"977.024.775,00","65.517.562,09","625.881.987,02"
13,2020,ago,HABITACAO,"79.727.082,00","1.826.606,80","11.287.455,29"
14,2020,ago,SANEAMENTO,"40.777.500,00","4.731.443,97","28.630.766,15"
15,2020,ago,GESTAO AMBIENTAL,"84.370.068,00","6.365.188,73","46.447.503,09"
16,2020,ago,CIENCIA E TECNOLOGIA,"9.531.810,00","943.433,88","4.591.292,98"
17,2020,ago,AGRICULTURA,"201.339,00","0,00","0,00"
18,2020,ago,COMERCIO E SERVICOS,"8.041.870,00","359.479,54","2.915.538,66"
19,2020,ago,COMUNICACOES,"9.879.000,00","925.087,77","5.728.386,33"
20,2020,ago,ENERGIA,"65.004.000,00","6.933.372,49","51.364.783,86"
21,2020,ago,DESPORTO E LAZER,"42.180.235,00","-5.749.697,06","16.700.030,10"
22,2020,ago,ENCARGOS ESPECIAIS,"373.876.914,00","20.609.126,85","214.065.017,09"
23,2020,ago,RESERVA DE CONTINGENCIA,"332.000,00","0,00","0,00"
24,2020,ago,TOTAIS,"8.928.901.538,00","679.213.083,00","5.959.181.221,11"
0,2020,jul,LEGISLATIVA,"197.170.103,00","9.911.368,61","124.509.621,43"
1,2020,jul,JUDICIARIA,"51.791.968,00","3.652.341,30","25.641.279,63"
2,2020,jul,ESSENCIAL A JUSTICA,"648.337,00","0,00","12.455,46"
3,2020,jul,ADMINISTRACAO,"853.279.763,00","59.856.048,81","425.735.516,00"
4,2020,jul,SEGURANCA PUBLICA,"301.187.464,00","27.044.013,56","168.918.246,65"
5,2020,jul,ASSISTENCIA SOCIAL,"138.367.751,00","13.261.769,96","83.950.221,83"
6,2020,jul,PREVIDENCIA SOCIAL,"938.769.643,00","77.032.223,80","535.740.884,63"
7,2020,jul,SAUDE,"2.541.830.300,00","287.895.112,95","1.902.732.027,94"
8,2020,jul,TRABALHO,"7.624.501,00","511.783,34","5.972.846,53"
9,2020,jul,EDUCACAO,"1.941.911.709,00","175.550.454,85","989.842.688,13"
10,2020,jul,CULTURA,"192.225.384,00","16.103.364,30","87.619.541,28"
11,2020,jul,DIREITOS DA CIDADANIA,"73.148.022,00","3.648.256,90","24.141.653,09"
12,2020,jul,URBANISMO,"977.024.775,00","82.971.610,07","560.364.424,93"
13,2020,jul,HABITACAO,"79.727.082,00","1.063.816,65","9.460.848,49"
14,2020,jul,SANEAMENTO,"40.777.500,00","2.074.952,68","23.899.322,18"
15,2020,jul,GESTAO AMBIENTAL,"84.370.068,00","7.540.361,27","40.082.314,36"
16,2020,jul,CIENCIA E TECNOLOGIA,"9.531.810,00","365.925,30","3.647.859,10"
17,2020,jul,AGRICULTURA,"201.339,00","0,00","0,00"
18,2020,jul,COMERCIO E SERVICOS,"8.041.870,00","276.372,24","2.556.059,12"
19,2020,jul,COMUNICACOES,"9.879.000,00","925.087,77","4.803.298,56"
20,2020,jul,ENERGIA,"65.004.000,00","6.635.554,73","44.431.411,37"
21,2020,jul,DESPORTO E LAZER,"42.180.235,00","3.092.035,33","22.449.727,16"
22,2020,jul,ENCARGOS ESPECIAIS,"373.876.914,00","8.100.633,28","193.455.890,24"
23,2020,jul,RESERVA DE CONTINGENCIA,"332.000,00","0,00","0,00"
24,2020,jul,TOTAIS,"8.928.901.538,00","787.513.087,70","5.279.968.138,11"
0,2020,jun,LEGISLATIVA,"197.170.103,00","17.073.094,52","114.598.252,82"
1,2020,jun,JUDICIARIA,"51.791.968,00","4.033.511,75","21.988.938,33"
2,2020,jun,ESSENCIAL A JUSTICA,"648.337,00","0,00","12.455,46"
3,2020,jun,ADMINISTRACAO,"853.279.763,00","64.531.802,24","365.879.467,19"
4,2020,jun,SEGURANCA PUBLICA,"301.187.464,00","26.819.441,78","141.874.233,09"
5,2020,jun,ASSISTENCIA SOCIAL,"138.367.751,00","15.317.503,63","70.688.451,87"
6,2020,jun,PREVIDENCIA SOCIAL,"938.769.643,00","77.055.185,74","458.708.660,83"
7,2020,jun,SAUDE,"2.541.830.300,00","284.267.308,94","1.614.836.914,99"
8,2020,jun,TRABALHO,"7.624.501,00","2.618.340,98","5.461.063,19"
9,2020,jun,EDUCACAO,"1.941.911.709,00","132.042.632,06","814.292.233,28"
10,2020,jun,CULTURA,"192.225.384,00","3.441.975,23","71.516.176,98"
11,2020,jun,DIREITOS DA CIDADANIA,"73.148.022,00","3.682.260,73","20.493.396,19"
12,2020,jun,URBANISMO,"977.024.775,00","97.546.483,12","477.392.814,86"
13,2020,jun,HABITACAO,"79.727.082,00","1.495.925,50","8.397.031,84"
14,2020,jun,SANEAMENTO,"40.777.500,00","3.400.000,00","21.824.369,50"
15,2020,jun,GESTAO AMBIENTAL,"84.370.068,00","5.431.096,23","32.541.953,09"
16,2020,jun,CIENCIA E TECNOLOGIA,"9.531.810,00","1.049.529,19","3.281.933,80"
17,2020,jun,AGRICULTURA,"201.339,00","0,00","0,00"
18,2020,jun,COMERCIO E SERVICOS,"8.041.870,00","300.846,80","2.279.686,88"
19,2020,jun,COMUNICACOES,"9.879.000,00","896.125,43","3.878.210,79"
20,2020,jun,ENERGIA,"65.004.000,00","7.021.318,42","37.795.856,64"
21,2020,jun,DESPORTO E LAZER,"42.180.235,00","6.811.956,71","19.357.691,83"
22,2020,jun,ENCARGOS ESPECIAIS,"373.876.914,00","48.653.321,33","185.355.256,96"
23,2020,jun,RESERVA DE CONTINGENCIA,"332.000,00","0,00","0,00"
24,2020,jun,TOTAIS,"8.928.901.538,00","803.489.660,33","4.492.455.050,41"
0,2020,mai,LEGISLATIVA,"197.170.103,00","9.031.121,39","97.525.158,30"
1,2020,mai,JUDICIARIA,"51.791.968,00","3.528.832,01","17.955.426,58"
2,2020,mai,ESSENCIAL A JUSTICA,"648.337,00","0,00","12.455,46"
3,2020,mai,ADMINISTRACAO,"853.279.763,00","58.481.314,19","301.347.664,95"
4,2020,mai,SEGURANCA PUBLICA,"301.187.464,00","18.889.466,90","115.054.791,31"
5,2020,mai,ASSISTENCIA SOCIAL,"138.367.751,00","14.332.173,99","55.370.948,24"
6,2020,mai,PREVIDENCIA SOCIAL,"938.769.643,00","76.658.654,20","381.653.475,09"
7,2020,mai,SAUDE,"2.541.830.300,00","180.403.449,85","1.330.569.606,05"
8,2020,mai,TRABALHO,"7.624.501,00","2.537.009,34","2.842.722,21"
9,2020,mai,EDUCACAO,"1.941.911.709,00","125.666.111,47","682.249.601,22"
10,2020,mai,CULTURA,"192.225.384,00","6.594.501,13","68.074.201,75"
11,2020,mai,DIREITOS DA CIDADANIA,"73.148.022,00","2.324.745,33","16.811.135,46"
12,2020,mai,URBANISMO,"977.024.775,00","66.571.317,74","379.846.331,74"
13,2020,mai,HABITACAO,"79.727.082,00","1.190.203,63","6.901.106,34"
14,2020,mai,SANEAMENTO,"40.777.500,00","3.345.000,00","18.424.369,50"
15,2020,mai,GESTAO AMBIENTAL,"84.370.068,00","4.933.762,32","27.110.856,86"
16,2020,mai,CIENCIA E TECNOLOGIA,"9.531.810,00","318.697,80","2.232.404,61"
17,2020,mai,AGRICULTURA,"201.339,00","0,00","0,00"
18,2020,mai,COMERCIO E SERVICOS,"8.041.870,00","291.942,38","1.978.840,08"
19,2020,mai,COMUNICACOES,"9.879.000,00","745.521,34","2.982.085,36"
20,2020,mai,ENERGIA,"65.004.000,00","6.787.269,06","30.774.538,22"
21,2020,mai,DESPORTO E LAZER,"42.180.235,00","29.362,92","12.545.735,12"
22,2020,mai,ENCARGOS ESPECIAIS,"373.876.914,00","50.271.240,34","136.701.935,63"
23,2020,mai,RESERVA DE CONTINGENCIA,"332.000,00","0,00","0,00"
24,2020,mai,TOTAIS,"8.928.901.538,00","632.931.697,33","3.688.965.390,08"
0,2020,abr,LEGISLATIVA,"197.170.103,00","9.208.944,60","88.494.036,91"
1,2020,abr,JUDICIARIA,"51.791.968,00","3.669.578,39","14.426.594,57"
2,2020,abr,ESSENCIAL A JUSTICA,"648.337,00","12.455,46","12.455,46"
3,2020,abr,ADMINISTRACAO,"853.279.763,00","37.088.192,82","242.866.350,76"
4,2020,abr,SEGURANCA PUBLICA,"301.187.464,00","26.902.457,02","96.165.324,41"
5,2020,abr,ASSISTENCIA SOCIAL,"138.367.751,00","7.853.214,49","41.038.774,25"
6,2020,abr,PREVIDENCIA SOCIAL,"938.769.643,00","76.578.986,32","304.994.820,89"
7,2020,abr,SAUDE,"2.541.830.300,00","306.729.018,99","1.150.166.156,20"
8,2020,abr,TRABALHO,"7.624.501,00","177.198,16","305.712,87"
9,2020,abr,EDUCACAO,"1.941.911.709,00","136.048.745,12","556.583.489,75"
10,2020,abr,CULTURA,"192.225.384,00","4.646.442,06","61.479.700,62"
11,2020,abr,DIREITOS DA CIDADANIA,"73.148.022,00","3.455.134,78","14.486.390,13"
12,2020,abr,URBANISMO,"977.024.775,00","77.632.554,38","313.275.014,00"
13,2020,abr,HABITACAO,"79.727.082,00","1.743.643,09","5.710.902,71"
14,2020,abr,SANEAMENTO,"40.777.500,00","0,00","15.079.369,50"
15,2020,abr,GESTAO AMBIENTAL,"84.370.068,00","5.431.878,16","22.177.094,54"
16,2020,abr,CIENCIA E TECNOLOGIA,"9.531.810,00","300.003,46","1.913.706,81"
17,2020,abr,AGRICULTURA,"201.339,00","0,00","0,00"
18,2020,abr,COMERCIO E SERVICOS,"8.041.870,00","275.940,55","1.686.897,70"
19,2020,abr,COMUNICACOES,"9.879.000,00","745.521,34","2.236.564,02"
20,2020,abr,ENERGIA,"65.004.000,00","10.324.280,32","23.987.269,16"
21,2020,abr,DESPORTO E LAZER,"42.180.235,00","1.805.656,43","12.516.372,20"
22,2020,abr,ENCARGOS ESPECIAIS,"373.876.914,00","26.638.556,83","86.430.695,29"
23,2020,abr,RESERVA DE CONTINGENCIA,"332.000,00","0,00","0,00"
24,2020,abr,TOTAIS,"8.928.901.538,00","737.268.402,77","3.056.033.692,75"
0,2020,mar,LEGISLATIVA,"197.170.103,00","9.496.972,33","79.285.092,31"
1,2020,mar,JUDICIARIA,"51.791.968,00","3.610.001,30","10.757.016,18"
2,2020,mar,ESSENCIAL A JUSTICA,"648.337,00","0,00","0,00"
3,2020,mar,ADMINISTRACAO,"853.279.763,00","41.804.504,99","205.778.157,94"
4,2020,mar,SEGURANCA PUBLICA,"301.187.464,00","26.241.328,80","69.262.867,39"
5,2020,mar,ASSISTENCIA SOCIAL,"138.367.751,00","8.197.148,33","33.185.559,76"
6,2020,mar,PREVIDENCIA SOCIAL,"938.769.643,00","76.829.875,33","228.415.834,57"
7,2020,mar,SAUDE,"2.541.830.300,00","163.914.991,25","843.437.137,21"
8,2020,mar,TRABALHO,"7.624.501,00","50.515,80","128.514,71"
9,2020,mar,EDUCACAO,"1.941.911.709,00","147.484.863,72","420.534.744,63"
10,2020,mar,CULTURA,"192.225.384,00","13.457.213,21","56.833.258,56"
11,2020,mar,DIREITOS DA CIDADANIA,"73.148.022,00","4.221.258,96","11.031.255,35"
12,2020,mar,URBANISMO,"977.024.775,00","91.491.817,07","235.642.459,62"
13,2020,mar,HABITACAO,"79.727.082,00","988.989,70","3.967.259,62"
14,2020,mar,SANEAMENTO,"40.777.500,00","1.415.000,00","15.079.369,50"
15,2020,mar,GESTAO AMBIENTAL,"84.370.068,00","5.170.201,75","16.745.216,38"
16,2020,mar,CIENCIA E TECNOLOGIA,"9.531.810,00","779.126,92","1.613.703,35"
17,2020,mar,AGRICULTURA,"201.339,00","0,00","0,00"
18,2020,mar,COMERCIO E SERVICOS,"8.041.870,00","243.779,89","1.410.957,15"
19,2020,mar,COMUNICACOES,"9.879.000,00","745.521,34","1.491.042,68"
20,2020,mar,ENERGIA,"65.004.000,00","2.088.227,76","13.662.988,84"
21,2020,mar,DESPORTO E LAZER,"42.180.235,00","372.305,68","10.710.715,77"
22,2020,mar,ENCARGOS ESPECIAIS,"373.876.914,00","15.490.111,82","59.792.138,46"
23,2020,mar,RESERVA DE CONTINGENCIA,"332.000,00","0,00","0,00"
24,2020,mar,TOTAIS,"8.928.901.538,00","614.093.755,95","2.318.765.289,98"
0,2020,fev,LEGISLATIVA,"197.170.103,00","4.392.058,27","69.788.119,98"
1,2020,fev,JUDICIARIA,"51.791.968,00","3.622.672,26","7.147.014,88"
2,2020,fev,ESSENCIAL A JUSTICA,"648.337,00","0,00","0,00"
3,2020,fev,ADMINISTRACAO,"853.279.763,00","45.225.389,89","163.973.652,95"
4,2020,fev,SEGURANCA PUBLICA,"301.187.464,00","24.003.326,93","43.021.538,59"
5,2020,fev,ASSISTENCIA SOCIAL,"138.367.751,00","10.357.604,66","24.988.411,43"
6,2020,fev,PREVIDENCIA SOCIAL,"938.769.643,00","77.168.026,79","151.585.959,24"
7,2020,fev,SAUDE,"2.541.830.300,00","216.435.418,87","679.522.145,96"
8,2020,fev,TRABALHO,"7.624.501,00","51.914,09","77.998,91"
9,2020,fev,EDUCACAO,"1.941.911.709,00","165.933.469,97","273.049.880,91"
10,2020,fev,CULTURA,"192.225.384,00","33.161.586,38","43.376.045,35"
11,2020,fev,DIREITOS DA CIDADANIA,"73.148.022,00","2.959.426,29","6.809.996,39"
12,2020,fev,URBANISMO,"977.024.775,00","132.399.665,42","144.150.642,55"
13,2020,fev,HABITACAO,"79.727.082,00","2.354.850,53","2.978.269,92"
14,2020,fev,SANEAMENTO,"40.777.500,00","13.664.369,50","13.664.369,50"
15,2020,fev,GESTAO AMBIENTAL,"84.370.068,00","5.493.214,93","11.575.014,63"
16,2020,fev,CIENCIA E TECNOLOGIA,"9.531.810,00","564.108,74","834.576,43"
17,2020,fev,AGRICULTURA,"201.339,00","0,00","0,00"
18,2020,fev,COMERCIO E SERVICOS,"8.041.870,00","159.829,45","1.167.177,26"
19,2020,fev,COMUNICACOES,"9.879.000,00","745.521,34","745.521,34"
20,2020,fev,ENERGIA,"65.004.000,00","11.574.761,08","11.574.761,08"
21,2020,fev,DESPORTO E LAZER,"42.180.235,00","10.338.200,09","10.338.410,09"
22,2020,fev,ENCARGOS ESPECIAIS,"373.876.914,00","17.636.110,16","44.302.026,64"
23,2020,fev,RESERVA DE CONTINGENCIA,"332.000,00","0,00","0,00"
24,2020,fev,TOTAIS,"8.928.901.538,00","778.241.525,64","1.704.671.534,03"
0,2020,jan,LEGISLATIVA,"197.170.103,00","65.396.061,71","65.396.061,71"
1,2020,jan,JUDICIARIA,"51.791.968,00","3.524.342,62","3.524.342,62"
2,2020,jan,ESSENCIAL A JUSTICA,"648.337,00","0,00","0,00"
3,2020,jan,ADMINISTRACAO,"853.279.763,00","118.748.263,06","118.748.263,06"
4,2020,jan,SEGURANCA PUBLICA,"301.187.464,00","19.018.211,66","19.018.211,66"
5,2020,jan,ASSISTENCIA SOCIAL,"138.367.751,00","14.630.806,77","14.630.806,77"
6,2020,jan,PREVIDENCIA SOCIAL,"938.769.643,00","74.417.932,45","74.417.932,45"
7,2020,jan,SAUDE,"2.541.830.300,00","463.086.727,09","463.086.727,09"
8,2020,jan,TRABALHO,"7.624.501,00","26.084,82","26.084,82"
9,2020,jan,EDUCACAO,"1.941.911.709,00","107.116.410,94","107.116.410,94"
10,2020,jan,CULTURA,"192.225.384,00","10.214.458,97","10.214.458,97"
11,2020,jan,DIREITOS DA CIDADANIA,"73.148.022,00","3.850.570,10","3.850.570,10"
12,2020,jan,URBANISMO,"977.024.775,00","11.750.977,13","11.750.977,13"
13,2020,jan,HABITACAO,"79.727.082,00","623.419,39","623.419,39"
14,2020,jan,SANEAMENTO,"40.777.500,00","0,00","0,00"
15,2020,jan,GESTAO AMBIENTAL,"84.370.068,00","6.081.799,70","6.081.799,70"
16,2020,jan,CIENCIA E TECNOLOGIA,"9.531.810,00","270.467,69","270.467,69"
17,2020,jan,AGRICULTURA,"201.339,00","0,00","0,00"
18,2020,jan,COMERCIO E SERVICOS,"8.041.870,00","1.007.347,81","1.007.347,81"
19,2020,jan,COMUNICACOES,"9.879.000,00","0,00","0,00"
20,2020,jan,ENERGIA,"65.004.000,00","0,00","0,00"
21,2020,jan,DESPORTO E LAZER,"42.180.235,00","210,00","210,00"
22,2020,jan,ENCARGOS ESPECIAIS,"373.876.914,00","26.665.916,48","26.665.916,48"
23,2020,jan,RESERVA DE CONTINGENCIA,"332.000,00","0,00","0,00"
24,2020,jan,TOTAIS,"8.928.901.538,00","926.430.008,39","926.430.008,39"
