,ano,mes,descrição da despesa,Valor Anual Previsto na LOA,valor mensal empenhado,Valor Acumulado
0,2020,dez,LEGISLATIVA,"197.170.103,00","11.458.836,30","179.774.407,22"
1,2020,dez,JUDICIARIA,"51.791.968,00","5.997.066,23","48.283.025,12"
2,2020,dez,ESSENCIAL A JUSTICA,"648.337,00","-7.168,62","149.740,73"
3,2020,dez,ADMINISTRACAO,"853.279.763,00","48.300.847,81","771.802.019,65"
4,2020,dez,SEGURANCA PUBLICA,"301.187.464,00","21.858.192,21","307.808.943,42"
5,2020,dez,ASSISTENCIA SOCIAL,"138.367.751,00","5.894.790,76","154.343.251,16"
6,2020,dez,PREVIDENCIA SOCIAL,"938.769.643,00","131.366.334,90","1.030.949.289,29"
7,2020,dez,SAUDE,"2.541.830.300,00","207.725.293,01","2.892.797.476,20"
8,2020,dez,TRABALHO,"7.624.501,00","2.139.102,44","9.414.275,21"
9,2020,dez,EDUCACAO,"1.941.911.709,00","188.939.484,07","1.761.252.909,19"
10,2020,dez,CULTURA,"192.225.384,00","18.147.879,38","136.001.177,20"
11,2020,dez,DIREITOS DA CIDADANIA,"73.148.022,00","804.101,90","45.877.528,60"
12,2020,dez,URBANISMO,"977.024.775,00","100.941.069,49","1.102.779.239,53"
13,2020,dez,HABITACAO,"79.727.082,00","2.196.132,88","19.096.833,10"
14,2020,dez,SANEAMENTO,"40.777.500,00","19.080.153,83","69.404.742,45"
15,2020,dez,GESTAO AMBIENTAL,"84.370.068,00","7.198.436,60","70.008.964,86"
16,2020,dez,CIENCIA E TECNOLOGIA,"9.531.810,00","382.906,47","7.547.421,49"
17,2020,dez,AGRICULTURA,"201.339,00","0,00","0,00"
18,2020,dez,COMERCIO E SERVICOS,"8.041.870,00","213.479,23","3.995.703,48"
19,2020,dez,COMUNICACOES,"9.879.000,00","0,00","10.439.397,68"
20,2020,dez,ENERGIA,"65.004.000,00","2.000.000,00","61.201.000,00"
21,2020,dez,DESPORTO E LAZER,"42.180.235,00","3.162.022,48","27.268.508,87"
22,2020,dez,ENCARGOS ESPECIAIS,"373.876.914,00","49.696.531,97","323.997.312,31"
23,2020,dez,RESERVA DE CONTINGENCIA,"332.000,00","0,00","0,00"
