,ano,mes,descrição da despesa,Valor Anual Previsto na LOA,valor mensal empenhado,Valor Acumulado
0,2018,dez,LEGISLATIVA,"189.871.749,00","7.119.487,47","163.445.839,80"
1,2018,dez,JUDICIARIA,"44.977.456,00","5.602.086,83","41.326.752,09"
2,2018,dez,ESSENCIAL A JUSTICA,"643.000,00","0,00","244.025,91"
3,2018,dez,ADMINISTRACAO,"706.776.009,00","56.496.222,39","696.650.623,05"
4,2018,dez,SEGURANCA PUBLICA,"286.737.518,00","22.441.367,91","248.419.274,30"
5,2018,dez,ASSISTENCIA SOCIAL,"148.311.704,00","5.385.273,05","84.897.970,56"
6,2018,dez,PREVIDENCIA SOCIAL,"796.930.029,00","105.648.234,28","829.378.025,56"
7,2018,dez,SAUDE,"2.297.888.010,00","181.119.225,26","2.107.298.158,71"
8,2018,dez,TRABALHO,"7.701.566,00","-67.531,11","1.150.154,78"
9,2018,dez,EDUCACAO,"1.622.768.822,00","157.763.660,02","1.441.677.851,22"
10,2018,dez,CULTURA,"95.069.137,00","2.036.658,07","60.060.690,19"
11,2018,dez,DIREITOS DA CIDADANIA,"61.587.130,00","7.032.908,38","36.712.221,64"
12,2018,dez,URBANISMO,"697.903.411,00","-2.619.481,31","722.843.640,60"
13,2018,dez,HABITACAO,"71.866.257,00","4.162.851,24","32.713.978,65"
14,2018,dez,SANEAMENTO,"2.600.000,00","0,00","0,00"
15,2018,dez,GESTAO AMBIENTAL,"78.605.831,00","7.174.494,94","65.170.811,75"
16,2018,dez,CIENCIA E TECNOLOGIA,"6.220.782,00","271.666,79","4.333.077,98"
17,2018,dez,AGRICULTURA,"1.160.000,00","0,00","0,00"
18,2018,dez,COMERCIO E SERVICOS,"31.212.917,00","1.922.982,99","7.800.498,53"
19,2018,dez,COMUNICACOES,"7.832.938,00","0,00","8.672.250,00"
20,2018,dez,ENERGIA,"101.564.390,00","11.046.000,00","61.465.685,36"
21,2018,dez,DESPORTO E LAZER,"20.772.881,00","-896.276,07","7.342.114,20"
22,2018,dez,ENCARGOS ESPECIAIS,"269.235.083,00","32.637.736,77","254.853.184,79"
23,2018,dez,RESERVA DE CONTINGENCIA,"157.883,00","0,00","0,00"
24,2018,dez,TOTAIS,"7.548.394.503,00","604.277.567,90","6.876.456.829,67"
0,2018,nov,LEGISLATIVA,"189.871.749,00","11.721.720,08","156.326.352,33"
1,2018,nov,JUDICIARIA,"44.977.456,00","3.426.602,36","35.724.665,26"
2,2018,nov,ESSENCIAL A JUSTICA,"643.000,00","91.557,29","244.025,91"
3,2018,nov,ADMINISTRACAO,"706.776.009,00","52.085.346,04","640.154.400,66"
4,2018,nov,SEGURANCA PUBLICA,"286.737.518,00","17.732.601,75","225.977.906,39"
5,2018,nov,ASSISTENCIA SOCIAL,"148.311.704,00","9.652.789,35","79.512.697,51"
6,2018,nov,PREVIDENCIA SOCIAL,"796.930.029,00","67.480.581,86","723.729.791,28"
7,2018,nov,SAUDE,"2.297.888.010,00","138.048.134,99","1.926.178.933,45"
8,2018,nov,TRABALHO,"7.701.566,00","604.112,07","1.217.685,89"
9,2018,nov,EDUCACAO,"1.622.768.822,00","114.609.104,97","1.283.914.191,20"
10,2018,nov,CULTURA,"95.069.137,00","1.723.570,37","58.024.032,12"
11,2018,nov,DIREITOS DA CIDADANIA,"61.587.130,00","708.101,82","29.679.313,26"
12,2018,nov,URBANISMO,"697.903.411,00","71.677.961,15","725.463.121,91"
13,2018,nov,HABITACAO,"71.866.257,00","2.764.266,09","28.551.127,41"
14,2018,nov,SANEAMENTO,"2.600.000,00","0,00","0,00"
15,2018,nov,GESTAO AMBIENTAL,"78.605.831,00","5.059.181,10","57.996.316,81"
16,2018,nov,CIENCIA E TECNOLOGIA,"6.220.782,00","482.166,95","4.061.411,19"
17,2018,nov,AGRICULTURA,"1.160.000,00","0,00","0,00"
18,2018,nov,COMERCIO E SERVICOS,"31.212.917,00","777.101,56","5.877.515,54"
19,2018,nov,COMUNICACOES,"7.832.938,00","0,00","8.672.250,00"
20,2018,nov,ENERGIA,"101.564.390,00","7.071.568,85","50.419.685,36"
21,2018,nov,DESPORTO E LAZER,"20.772.881,00","991.251,04","8.238.390,27"
22,2018,nov,ENCARGOS ESPECIAIS,"269.235.083,00","29.922.799,06","222.215.448,02"
23,2018,nov,RESERVA DE CONTINGENCIA,"157.883,00","0,00","0,00"
24,2018,nov,TOTAIS,"7.548.394.503,00","536.630.518,75","6.272.179.261,77"
0,2018,out,LEGISLATIVA,"189.871.749,00","9.392.800,95","144.604.632,25"
1,2018,out,JUDICIARIA,"44.977.456,00","3.279.792,45","32.298.062,90"
2,2018,out,ESSENCIAL A JUSTICA,"643.000,00","23.420,08","152.468,62"
3,2018,out,ADMINISTRACAO,"706.776.009,00","47.962.543,14","588.069.054,62"
4,2018,out,SEGURANCA PUBLICA,"286.737.518,00","20.061.241,86","208.245.304,64"
5,2018,out,ASSISTENCIA SOCIAL,"148.311.704,00","8.084.434,51","69.859.908,16"
6,2018,out,PREVIDENCIA SOCIAL,"796.930.029,00","66.639.751,66","656.249.209,42"
7,2018,out,SAUDE,"2.297.888.010,00","207.494.472,81","1.788.130.798,46"
8,2018,out,TRABALHO,"7.701.566,00","7.269,45","613.573,82"
9,2018,out,EDUCACAO,"1.622.768.822,00","107.732.819,05","1.169.305.086,23"
10,2018,out,CULTURA,"95.069.137,00","5.573.136,25","56.300.461,75"
11,2018,out,DIREITOS DA CIDADANIA,"61.587.130,00","1.949.346,33","28.971.211,44"
12,2018,out,URBANISMO,"697.903.411,00","35.146.976,36","653.785.160,76"
13,2018,out,HABITACAO,"71.866.257,00","1.865.575,75","25.786.861,32"
14,2018,out,SANEAMENTO,"2.600.000,00","0,00","0,00"
15,2018,out,GESTAO AMBIENTAL,"78.605.831,00","5.142.464,38","52.937.135,71"
16,2018,out,CIENCIA E TECNOLOGIA,"6.220.782,00","330.073,69","3.579.244,24"
17,2018,out,AGRICULTURA,"1.160.000,00","0,00","0,00"
18,2018,out,COMERCIO E SERVICOS,"31.212.917,00","316.350,84","5.100.413,98"
19,2018,out,COMUNICACOES,"7.832.938,00","697.500,00","8.672.250,00"
20,2018,out,ENERGIA,"101.564.390,00","7.607.919,61","43.348.116,51"
21,2018,out,DESPORTO E LAZER,"20.772.881,00","-6.297.950,00","7.247.139,23"
22,2018,out,ENCARGOS ESPECIAIS,"269.235.083,00","15.822.104,55","192.292.648,96"
23,2018,out,RESERVA DE CONTINGENCIA,"157.883,00","0,00","0,00"
24,2018,out,TOTAIS,"7.548.394.503,00","538.832.043,72","5.735.548.743,02"
0,2018,set,LEGISLATIVA,"189.871.749,00","8.128.026,74","135.211.831,30"
1,2018,set,JUDICIARIA,"44.977.456,00","3.273.115,58","29.018.270,45"
2,2018,set,ESSENCIAL A JUSTICA,"643.000,00","38.209,75","129.048,54"
3,2018,set,ADMINISTRACAO,"706.776.009,00","51.009.901,91","540.106.511,48"
4,2018,set,SEGURANCA PUBLICA,"286.737.518,00","25.959.534,67","188.184.062,78"
5,2018,set,ASSISTENCIA SOCIAL,"148.311.704,00","7.861.857,69","61.775.473,65"
6,2018,set,PREVIDENCIA SOCIAL,"796.930.029,00","64.561.386,74","589.609.457,76"
7,2018,set,SAUDE,"2.297.888.010,00","168.062.933,96","1.580.636.325,65"
8,2018,set,TRABALHO,"7.701.566,00","24.389,87","606.304,37"
9,2018,set,EDUCACAO,"1.622.768.822,00","113.739.080,67","1.061.572.267,18"
10,2018,set,CULTURA,"95.069.137,00","7.446.801,58","50.727.325,50"
11,2018,set,DIREITOS DA CIDADANIA,"61.587.130,00","3.775.360,50","27.021.865,11"
12,2018,set,URBANISMO,"697.903.411,00","77.216.863,49","618.638.184,40"
13,2018,set,HABITACAO,"71.866.257,00","4.815.124,26","23.921.285,57"
14,2018,set,SANEAMENTO,"2.600.000,00","0,00","0,00"
15,2018,set,GESTAO AMBIENTAL,"78.605.831,00","5.007.321,89","47.794.671,33"
16,2018,set,CIENCIA E TECNOLOGIA,"6.220.782,00","316.160,68","3.249.170,55"
17,2018,set,AGRICULTURA,"1.160.000,00","0,00","0,00"
18,2018,set,COMERCIO E SERVICOS,"31.212.917,00","396.532,79","4.784.063,14"
19,2018,set,COMUNICACOES,"7.832.938,00","697.500,00","7.974.750,00"
20,2018,set,ENERGIA,"101.564.390,00","6.848.832,65","35.740.196,90"
21,2018,set,DESPORTO E LAZER,"20.772.881,00","-17.045,45","13.545.089,23"
22,2018,set,ENCARGOS ESPECIAIS,"269.235.083,00","13.843.559,18","176.470.544,41"
23,2018,set,RESERVA DE CONTINGENCIA,"157.883,00","0,00","0,00"
24,2018,set,TOTAIS,"7.548.394.503,00","563.005.449,15","5.196.716.699,30"
0,2018,ago,LEGISLATIVA,"189.871.749,00","8.845.885,25","127.083.804,56"
1,2018,ago,JUDICIARIA,"44.977.456,00","3.227.728,57","25.745.154,87"
2,2018,ago,ESSENCIAL A JUSTICA,"643.000,00","0,00","90.838,79"
3,2018,ago,ADMINISTRACAO,"706.776.009,00","53.958.754,18","489.096.609,57"
4,2018,ago,SEGURANCA PUBLICA,"286.737.518,00","23.451.444,48","162.224.528,11"
5,2018,ago,ASSISTENCIA SOCIAL,"148.311.704,00","8.275.923,69","53.913.615,96"
6,2018,ago,PREVIDENCIA SOCIAL,"796.930.029,00","63.742.432,79","525.048.071,02"
7,2018,ago,SAUDE,"2.297.888.010,00","183.606.734,47","1.412.573.391,69"
8,2018,ago,TRABALHO,"7.701.566,00","10.428,35","581.914,50"
9,2018,ago,EDUCACAO,"1.622.768.822,00","113.813.798,46","947.833.186,51"
10,2018,ago,CULTURA,"95.069.137,00","4.556.685,09","43.280.523,92"
11,2018,ago,DIREITOS DA CIDADANIA,"61.587.130,00","2.607.882,56","23.246.504,61"
12,2018,ago,URBANISMO,"697.903.411,00","64.747.157,35","541.421.320,91"
13,2018,ago,HABITACAO,"71.866.257,00","1.707.085,11","19.106.161,31"
14,2018,ago,SANEAMENTO,"2.600.000,00","0,00","0,00"
15,2018,ago,GESTAO AMBIENTAL,"78.605.831,00","4.966.248,75","42.787.349,44"
16,2018,ago,CIENCIA E TECNOLOGIA,"6.220.782,00","221.407,63","2.933.009,87"
17,2018,ago,AGRICULTURA,"1.160.000,00","0,00","0,00"
18,2018,ago,COMERCIO E SERVICOS,"31.212.917,00","1.502.250,98","4.387.530,35"
19,2018,ago,COMUNICACOES,"7.832.938,00","697.500,00","7.277.250,00"
20,2018,ago,ENERGIA,"101.564.390,00","7.060.940,92","28.891.364,25"
21,2018,ago,DESPORTO E LAZER,"20.772.881,00","1.896.861,87","13.562.134,68"
22,2018,ago,ENCARGOS ESPECIAIS,"269.235.083,00","15.443.394,86","162.626.985,23"
23,2018,ago,RESERVA DE CONTINGENCIA,"157.883,00","0,00","0,00"
24,2018,ago,TOTAIS,"7.548.394.503,00","564.340.545,36","4.633.711.250,15"
0,2018,jul,LEGISLATIVA,"189.871.749,00","8.407.198,04","118.237.919,31"
1,2018,jul,JUDICIARIA,"44.977.456,00","3.117.796,58","22.517.426,30"
2,2018,jul,ESSENCIAL A JUSTICA,"643.000,00","12.215,72","90.838,79"
3,2018,jul,ADMINISTRACAO,"706.776.009,00","50.457.335,22","435.137.855,39"
4,2018,jul,SEGURANCA PUBLICA,"286.737.518,00","21.127.341,03","138.773.083,63"
5,2018,jul,ASSISTENCIA SOCIAL,"148.311.704,00","6.663.759,86","45.637.692,27"
6,2018,jul,PREVIDENCIA SOCIAL,"796.930.029,00","63.882.701,87","461.305.638,23"
7,2018,jul,SAUDE,"2.297.888.010,00","174.331.071,64","1.228.966.657,22"
8,2018,jul,TRABALHO,"7.701.566,00","22.415,17","571.486,15"
9,2018,jul,EDUCACAO,"1.622.768.822,00","117.844.395,76","834.019.388,05"
10,2018,jul,CULTURA,"95.069.137,00","4.978.944,42","38.723.838,83"
11,2018,jul,DIREITOS DA CIDADANIA,"61.587.130,00","4.230.880,60","20.638.622,05"
12,2018,jul,URBANISMO,"697.903.411,00","57.230.889,78","476.674.163,56"
13,2018,jul,HABITACAO,"71.866.257,00","1.942.616,13","17.399.076,20"
14,2018,jul,SANEAMENTO,"2.600.000,00","0,00","0,00"
