,ano,mes,descrição da despesa,Valor Anual Previsto na LOA,valor mensal empenhado,Valor Acumulado
15,2018,jul,GESTAO AMBIENTAL,"78.605.831,00","5.003.984,53","37.821.100,69"
16,2018,jul,CIENCIA E TECNOLOGIA,"6.220.782,00","506.496,84","2.711.602,24"
17,2018,jul,AGRICULTURA,"1.160.000,00","0,00","0,00"
18,2018,jul,COMERCIO E SERVICOS,"31.212.917,00","255.813,46","2.885.279,37"
19,2018,jul,COMUNICACOES,"7.832.938,00","697.500,00","6.579.750,00"
20,2018,jul,ENERGIA,"101.564.390,00","7.091.591,54","21.830.423,33"
21,2018,jul,DESPORTO E LAZER,"20.772.881,00","6.500.000,00","11.665.272,81"
22,2018,jul,ENCARGOS ESPECIAIS,"269.235.083,00","13.251.940,47","147.183.590,37"
23,2018,jul,RESERVA DE CONTINGENCIA,"157.883,00","0,00","0,00"
24,2018,jul,TOTAIS,"7.548.394.503,00","547.556.888,66","4.069.370.704,79"
0,2018,jun,LEGISLATIVA,"189.871.749,00","15.017.713,01","109.830.721,27"
1,2018,jun,JUDICIARIA,"44.977.456,00","4.373.830,20","19.399.629,72"
2,2018,jun,ESSENCIAL A JUSTICA,"643.000,00","9.390,08","78.623,07"
3,2018,jun,ADMINISTRACAO,"706.776.009,00","72.869.384,92","384.680.520,17"
4,2018,jun,SEGURANCA PUBLICA,"286.737.518,00","22.667.793,42","117.645.742,60"
5,2018,jun,ASSISTENCIA SOCIAL,"148.311.704,00","7.470.715,44","38.973.932,41"
6,2018,jun,PREVIDENCIA SOCIAL,"796.930.029,00","86.852.867,35","397.422.936,36"
7,2018,jun,SAUDE,"2.297.888.010,00","194.893.747,69","1.054.635.585,58"
8,2018,jun,TRABALHO,"7.701.566,00","236.573,37","549.070,98"
9,2018,jun,EDUCACAO,"1.622.768.822,00","155.826.834,64","716.174.992,29"
10,2018,jun,CULTURA,"95.069.137,00","6.959.394,83","33.744.894,41"
11,2018,jun,DIREITOS DA CIDADANIA,"61.587.130,00","1.973.309,86","16.407.741,45"
12,2018,jun,URBANISMO,"697.903.411,00","58.075.301,68","419.443.273,78"
13,2018,jun,HABITACAO,"71.866.257,00","2.432.539,96","15.456.460,07"
14,2018,jun,SANEAMENTO,"2.600.000,00","0,00","0,00"
15,2018,jun,GESTAO AMBIENTAL,"78.605.831,00","6.858.553,79","32.817.116,16"
16,2018,jun,CIENCIA E TECNOLOGIA,"6.220.782,00","519.493,65","2.205.105,40"
17,2018,jun,AGRICULTURA,"1.160.000,00","0,00","0,00"
18,2018,jun,COMERCIO E SERVICOS,"31.212.917,00","350.431,05","2.629.465,91"
19,2018,jun,COMUNICACOES,"7.832.938,00","697.500,00","5.882.250,00"
20,2018,jun,ENERGIA,"101.564.390,00","9.275.733,31","14.738.831,79"
21,2018,jun,DESPORTO E LAZER,"20.772.881,00","718.018,22","5.165.272,81"
22,2018,jun,ENCARGOS ESPECIAIS,"269.235.083,00","25.484.240,49","133.931.649,90"
23,2018,jun,RESERVA DE CONTINGENCIA,"157.883,00","0,00","0,00"
24,2018,jun,TOTAIS,"7.548.394.503,00","673.563.366,96","3.521.813.816,13"
0,2018,mai,LEGISLATIVA,"189.871.749,00","8.906.645,71","94.813.008,26"
1,2018,mai,JUDICIARIA,"44.977.456,00","3.043.881,78","15.025.799,52"
2,2018,mai,ESSENCIAL A JUSTICA,"643.000,00","43.216,44","69.232,99"
3,2018,mai,ADMINISTRACAO,"706.776.009,00","62.768.898,76","311.811.135,25"
4,2018,mai,SEGURANCA PUBLICA,"286.737.518,00","27.731.634,78","94.977.949,18"
5,2018,mai,ASSISTENCIA SOCIAL,"148.311.704,00","7.514.681,43","31.503.216,97"
6,2018,mai,PREVIDENCIA SOCIAL,"796.930.029,00","62.625.404,73","310.570.069,01"
7,2018,mai,SAUDE,"2.297.888.010,00","189.919.004,50","859.741.837,89"
8,2018,mai,TRABALHO,"7.701.566,00","250.420,49","312.497,61"
9,2018,mai,EDUCACAO,"1.622.768.822,00","109.630.877,67","560.348.157,65"
10,2018,mai,CULTURA,"95.069.137,00","2.765.995,66","26.785.499,58"
11,2018,mai,DIREITOS DA CIDADANIA,"61.587.130,00","3.584.142,90","14.434.431,59"
12,2018,mai,URBANISMO,"697.903.411,00","59.688.401,99","361.367.972,10"
13,2018,mai,HABITACAO,"71.866.257,00","3.854.760,24","13.023.920,11"
14,2018,mai,SANEAMENTO,"2.600.000,00","0,00","0,00"
15,2018,mai,GESTAO AMBIENTAL,"78.605.831,00","5.171.500,20","25.958.562,37"
16,2018,mai,CIENCIA E TECNOLOGIA,"6.220.782,00","503.602,41","1.685.611,75"
17,2018,mai,AGRICULTURA,"1.160.000,00","0,00","0,00"
18,2018,mai,COMERCIO E SERVICOS,"31.212.917,00","258.704,72","2.279.034,86"
19,2018,mai,COMUNICACOES,"7.832.938,00","1.395.000,00","5.184.750,00"
20,2018,mai,ENERGIA,"101.564.390,00","2.686.493,05","5.463.098,48"
21,2018,mai,DESPORTO E LAZER,"20.772.881,00","644.390,66","4.447.254,59"
22,2018,mai,ENCARGOS ESPECIAIS,"269.235.083,00","26.726.899,60","108.447.409,41"
23,2018,mai,RESERVA DE CONTINGENCIA,"157.883,00","0,00","0,00"
24,2018,mai,TOTAIS,"7.548.394.503,00","579.714.557,72","2.848.250.449,17"
0,2018,abr,LEGISLATIVA,"189.871.749,00","8.757.362,43","85.906.362,55"
1,2018,abr,JUDICIARIA,"44.977.456,00","3.039.731,65","11.981.917,74"
2,2018,abr,ESSENCIAL A JUSTICA,"643.000,00","24.642,34","26.016,55"
3,2018,abr,ADMINISTRACAO,"706.776.009,00","56.393.806,82","249.042.236,49"
4,2018,abr,SEGURANCA PUBLICA,"286.737.518,00","17.810.976,37","67.246.314,40"
5,2018,abr,ASSISTENCIA SOCIAL,"148.311.704,00","7.362.082,97","23.988.535,54"
6,2018,abr,PREVIDENCIA SOCIAL,"796.930.029,00","65.729.769,47","247.944.664,28"
7,2018,abr,SAUDE,"2.297.888.010,00","188.950.198,24","669.822.833,39"
8,2018,abr,TRABALHO,"7.701.566,00","23.640,94","62.077,12"
9,2018,abr,EDUCACAO,"1.622.768.822,00","132.820.870,07","450.717.279,98"
10,2018,abr,CULTURA,"95.069.137,00","7.164.513,72","24.019.503,92"
11,2018,abr,DIREITOS DA CIDADANIA,"61.587.130,00","1.663.360,59","10.850.288,69"
12,2018,abr,URBANISMO,"697.903.411,00","50.312.855,64","301.679.570,11"
13,2018,abr,HABITACAO,"71.866.257,00","3.038.979,25","9.169.159,87"
14,2018,abr,SANEAMENTO,"2.600.000,00","0,00","0,00"
15,2018,abr,GESTAO AMBIENTAL,"78.605.831,00","5.352.287,87","20.787.062,17"
16,2018,abr,CIENCIA E TECNOLOGIA,"6.220.782,00","251.708,68","1.182.009,34"
17,2018,abr,AGRICULTURA,"1.160.000,00","0,00","0,00"
18,2018,abr,COMERCIO E SERVICOS,"31.212.917,00","684.539,52","2.020.330,14"
19,2018,abr,COMUNICACOES,"7.832.938,00","0,00","3.789.750,00"
20,2018,abr,ENERGIA,"101.564.390,00","2.740.321,89","2.776.605,43"
21,2018,abr,DESPORTO E LAZER,"20.772.881,00","46.500,00","3.802.863,93"
22,2018,abr,ENCARGOS ESPECIAIS,"269.235.083,00","14.413.235,32","81.720.509,81"
23,2018,abr,RESERVA DE CONTINGENCIA,"157.883,00","0,00","0,00"
24,2018,abr,TOTAIS,"7.548.394.503,00","566.581.383,78","2.268.535.891,45"
0,2018,mar,LEGISLATIVA,"189.871.749,00","9.579.508,23","77.149.000,12"
1,2018,mar,JUDICIARIA,"44.977.456,00","3.042.133,12","8.942.186,09"
2,2018,mar,ESSENCIAL A JUSTICA,"643.000,00","1.374,21","1.374,21"
3,2018,mar,ADMINISTRACAO,"706.776.009,00","64.816.082,20","192.648.429,67"
4,2018,mar,SEGURANCA PUBLICA,"286.737.518,00","19.353.853,13","49.435.338,03"
5,2018,mar,ASSISTENCIA SOCIAL,"148.311.704,00","8.299.333,62","16.626.452,57"
6,2018,mar,PREVIDENCIA SOCIAL,"796.930.029,00","61.890.143,11","182.214.894,81"
7,2018,mar,SAUDE,"2.297.888.010,00","175.905.358,35","480.872.635,15"
8,2018,mar,TRABALHO,"7.701.566,00","20.459,99","38.436,18"
9,2018,mar,EDUCACAO,"1.622.768.822,00","111.050.951,91","317.896.409,91"
10,2018,mar,CULTURA,"95.069.137,00","3.598.187,86","16.854.990,20"
11,2018,mar,DIREITOS DA CIDADANIA,"61.587.130,00","1.406.392,62","9.186.928,10"
12,2018,mar,URBANISMO,"697.903.411,00","75.463.531,55","251.366.714,47"
13,2018,mar,HABITACAO,"71.866.257,00","1.131.825,98","6.130.180,62"
14,2018,mar,SANEAMENTO,"2.600.000,00","0,00","0,00"
15,2018,mar,GESTAO AMBIENTAL,"78.605.831,00","5.132.836,18","15.434.774,30"
16,2018,mar,CIENCIA E TECNOLOGIA,"6.220.782,00","251.055,69","930.300,66"
17,2018,mar,AGRICULTURA,"1.160.000,00","0,00","0,00"
18,2018,mar,COMERCIO E SERVICOS,"31.212.917,00","250.019,49","1.335.790,62"
19,2018,mar,COMUNICACOES,"7.832.938,00","1.395.000,00","3.789.750,00"
20,2018,mar,ENERGIA,"101.564.390,00","17.876,50","36.283,54"
21,2018,mar,DESPORTO E LAZER,"20.772.881,00","456.751,13","3.756.363,93"
22,2018,mar,ENCARGOS ESPECIAIS,"269.235.083,00","43.375.241,62","67.307.274,49"
23,2018,mar,RESERVA DE CONTINGENCIA,"157.883,00","0,00","0,00"
24,2018,mar,TOTAIS,"7.548.394.503,00","586.437.916,49","1.701.954.507,67"
0,2018,fev,LEGISLATIVA,"189.871.749,00","8.397.196,84","67.569.491,89"
1,2018,fev,JUDICIARIA,"44.977.456,00","2.931.840,38","5.900.052,97"
2,2018,fev,ESSENCIAL A JUSTICA,"643.000,00","0,00","0,00"
3,2018,fev,ADMINISTRACAO,"706.776.009,00","61.155.491,87","127.832.347,47"
4,2018,fev,SEGURANCA PUBLICA,"286.737.518,00","17.515.885,96","30.081.484,90"
5,2018,fev,ASSISTENCIA SOCIAL,"148.311.704,00","5.963.763,70","8.327.118,95"
6,2018,fev,PREVIDENCIA SOCIAL,"796.930.029,00","60.473.559,71","120.324.751,70"
7,2018,fev,SAUDE,"2.297.888.010,00","178.911.019,32","304.967.276,80"
8,2018,fev,TRABALHO,"7.701.566,00","16.897,19","17.976,19"
9,2018,fev,EDUCACAO,"1.622.768.822,00","104.074.845,60","206.845.458,00"
10,2018,fev,CULTURA,"95.069.137,00","9.513.672,12","13.256.802,34"
11,2018,fev,DIREITOS DA CIDADANIA,"61.587.130,00","1.841.539,23","7.780.535,48"
12,2018,fev,URBANISMO,"697.903.411,00","130.709.858,31","175.903.182,92"
13,2018,fev,HABITACAO,"71.866.257,00","4.818.893,52","4.998.354,64"
14,2018,fev,SANEAMENTO,"2.600.000,00","0,00","0,00"
15,2018,fev,GESTAO AMBIENTAL,"78.605.831,00","5.294.361,35","10.301.938,12"
16,2018,fev,CIENCIA E TECNOLOGIA,"6.220.782,00","474.020,32","679.244,97"
17,2018,fev,AGRICULTURA,"1.160.000,00","0,00","0,00"
18,2018,fev,COMERCIO E SERVICOS,"31.212.917,00","236.002,60","1.085.771,13"
19,2018,fev,COMUNICACOES,"7.832.938,00","2.092.500,00","2.394.750,00"
20,2018,fev,ENERGIA,"101.564.390,00","18.407,04","18.407,04"
21,2018,fev,DESPORTO E LAZER,"20.772.881,00","510.038,80","3.299.612,80"
22,2018,fev,ENCARGOS ESPECIAIS,"269.235.083,00","13.193.295,92","23.932.032,87"
23,2018,fev,RESERVA DE CONTINGENCIA,"157.883,00","0,00","0,00"
24,2018,fev,TOTAIS,"7.548.394.503,00","608.143.089,78","1.115.516.591,18"
0,2018,jan,LEGISLATIVA,"189.871.749,00","59.172.295,05","59.172.295,05"
1,2018,jan,JUDICIARIA,"44.977.456,00","2.968.212,59","2.968.212,59"
2,2018,jan,ESSENCIAL A JUSTICA,"643.000,00","0,00","0,00"
3,2018,jan,ADMINISTRACAO,"706.776.009,00","66.676.855,60","66.676.855,60"
4,2018,jan,SEGURANCA PUBLICA,"286.737.518,00","12.565.598,94","12.565.598,94"
5,2018,jan,ASSISTENCIA SOCIAL,"148.311.704,00","2.363.355,25","2.363.355,25"
6,2018,jan,PREVIDENCIA SOCIAL,"796.930.029,00","59.851.191,99","59.851.191,99"
7,2018,jan,SAUDE,"2.297.888.010,00","126.056.257,48","126.056.257,48"
8,2018,jan,TRABALHO,"7.701.566,00","1.079,00","1.079,00"
9,2018,jan,EDUCACAO,"1.622.768.822,00","102.770.612,40","102.770.612,40"
10,2018,jan,CULTURA,"95.069.137,00","3.743.130,22","3.743.130,22"
11,2018,jan,DIREITOS DA CIDADANIA,"61.587.130,00","5.938.996,25","5.938.996,25"
12,2018,jan,URBANISMO,"697.903.411,00","45.193.324,61","45.193.324,61"
13,2018,jan,HABITACAO,"71.866.257,00","179.461,12","179.461,12"
14,2018,jan,SANEAMENTO,"2.600.000,00","0,00","0,00"
15,2018,jan,GESTAO AMBIENTAL,"78.605.831,00","5.007.576,77","5.007.576,77"
16,2018,jan,CIENCIA E TECNOLOGIA,"6.220.782,00","205.224,65","205.224,65"
17,2018,jan,AGRICULTURA,"1.160.000,00","0,00","0,00"
18,2018,jan,COMERCIO E SERVICOS,"31.212.917,00","849.768,53","849.768,53"
19,2018,jan,COMUNICACOES,"7.832.938,00","302.250,00","302.250,00"
20,2018,jan,ENERGIA,"101.564.390,00","0,00","0,00"
21,2018,jan,DESPORTO E LAZER,"20.772.881,00","2.789.574,00","2.789.574,00"
22,2018,jan,ENCARGOS ESPECIAIS,"269.235.083,00","10.738.736,95","10.738.736,95"
23,2018,jan,RESERVA DE CONTINGENCIA,"157.883,00","0,00","0,00"
24,2018,jan,TOTAIS,"7.548.394.503,00","507.373.501,40","507.373.501,40"
