,ano,mes,descrição da despesa,Valor Anual Previsto na LOA,valor mensal empenhado,Valor Acumulado
0,2021,set,LEGISLATIVA,"204.693.321,00","14.927.594,78","151.370.035,35"
1,2021,set,JUDICIARIA,"50.867.225,00","4.088.319,09","34.855.734,14"
2,2021,set,ESSENCIAL A JUSTICA,"834.579,00","0,00","69.501,47"
3,2021,set,ADMINISTRACAO,"814.576.625,00","64.339.392,59","508.007.598,78"
4,2021,set,SEGURANCA PUBLICA,"344.593.741,00","19.439.028,48","197.690.321,82"
5,2021,set,ASSISTENCIA SOCIAL,"168.275.437,00","10.968.917,82","104.968.751,33"
6,2021,set,PREVIDENCIA SOCIAL,"1.066.196.589,00","82.099.808,13","766.531.328,66"
7,2021,set,SAUDE,"2.712.207.410,00","224.520.592,58","1.968.546.699,63"
8,2021,set,TRABALHO,"8.943.246,00","49.525,64","3.483.865,12"
9,2021,set,EDUCACAO,"1.932.775.084,00","217.957.409,06","1.424.836.359,92"
10,2021,set,CULTURA,"132.670.110,00","5.397.869,13","54.870.768,32"
11,2021,set,DIREITOS DA CIDADANIA,"66.613.721,00","2.389.848,82","18.220.926,91"
12,2021,set,URBANISMO,"815.664.177,00","69.789.046,37","638.893.179,99"
13,2021,set,HABITACAO,"63.001.643,00","852.027,46","10.656.803,89"
14,2021,set,SANEAMENTO,"58.477.000,00","6.261.313,71","92.899.675,44"
15,2021,set,GESTAO AMBIENTAL,"82.306.334,00","6.726.357,99","59.555.175,03"
16,2021,set,CIENCIA E TECNOLOGIA,"10.085.569,00","258.609,45","3.074.169,65"
17,2021,set,AGRICULTURA,"276.000,00","0,00","0,00"
18,2021,set,COMERCIO E SERVICOS,"13.772.775,00","267.585,73","2.454.298,81"
19,2021,set,COMUNICACOES,"11.037.500,00","0,00","6.678.072,48"
20,2021,set,ENERGIA,"82.940.000,00","4.099.301,38","63.750.572,80"
21,2021,set,DESPORTO E LAZER,"22.502.512,00","457.934,01","7.031.339,79"
22,2021,set,ENCARGOS ESPECIAIS,"431.727.221,00","10.076.517,99","266.602.510,56"
23,2021,set,RESERVA DE CONTINGENCIA,"4.941.000,00","0,00","0,00"
24,2021,set,TOTAIS,"9.099.978.819,00","744.967.000,21","6.385.047.689,89"
0,2021,ago,LEGISLATIVA,"204.693.321,00","9.423.263,60","136.442.440,57"
1,2021,ago,JUDICIARIA,"50.867.225,00","3.967.887,22","30.767.415,05"
2,2021,ago,ESSENCIAL A JUSTICA,"834.579,00","0,00","69.501,47"
3,2021,ago,ADMINISTRACAO,"814.576.625,00","48.740.008,09","443.668.206,19"
4,2021,ago,SEGURANCA PUBLICA,"344.593.741,00","22.914.585,32","178.251.293,34"
5,2021,ago,ASSISTENCIA SOCIAL,"168.275.437,00","10.416.469,76","93.999.833,51"
6,2021,ago,PREVIDENCIA SOCIAL,"1.066.196.589,00","81.582.239,22","684.431.520,53"
7,2021,ago,SAUDE,"2.712.207.410,00","204.474.649,20","1.744.026.107,05"
8,2021,ago,TRABALHO,"8.943.246,00","33.723,83","3.434.339,48"
9,2021,ago,EDUCACAO,"1.932.775.084,00","168.901.375,10","1.206.878.950,86"
10,2021,ago,CULTURA,"132.670.110,00","3.529.237,37","49.472.899,19"
11,2021,ago,DIREITOS DA CIDADANIA,"66.613.721,00","2.541.273,22","15.831.078,09"
12,2021,ago,URBANISMO,"815.664.177,00","78.069.846,96","569.104.133,62"
13,2021,ago,HABITACAO,"63.001.643,00","1.420.435,21","9.804.776,43"
14,2021,ago,SANEAMENTO,"58.477.000,00","9.592.045,43","86.638.361,73"
15,2021,ago,GESTAO AMBIENTAL,"82.306.334,00","6.294.288,80","52.828.817,04"
16,2021,ago,CIENCIA E TECNOLOGIA,"10.085.569,00","236.373,60","2.815.560,20"
17,2021,ago,AGRICULTURA,"276.000,00","0,00","0,00"
18,2021,ago,COMERCIO E SERVICOS,"13.772.775,00","220.362,80","2.186.713,08"
19,2021,ago,COMUNICACOES,"11.037.500,00","0,00","6.678.072,48"
20,2021,ago,ENERGIA,"82.940.000,00","7.312.888,41","59.651.271,42"
21,2021,ago,DESPORTO E LAZER,"22.502.512,00","359.405,17","6.573.405,78"
22,2021,ago,ENCARGOS ESPECIAIS,"431.727.221,00","28.350.611,83","256.525.992,57"
23,2021,ago,RESERVA DE CONTINGENCIA,"4.941.000,00","0,00","0,00"
24,2021,ago,TOTAIS,"9.099.978.819,00","688.380.970,14","5.640.080.689,68"
0,2021,jul,LEGISLATIVA,"204.693.321,00","10.723.382,82","127.019.176,97"
1,2021,jul,JUDICIARIA,"50.867.225,00","4.154.732,50","26.799.527,83"
2,2021,jul,ESSENCIAL A JUSTICA,"834.579,00","9.664,00","69.501,47"
3,2021,jul,ADMINISTRACAO,"814.576.625,00","52.096.769,92","394.928.198,10"
4,2021,jul,SEGURANCA PUBLICA,"344.593.741,00","18.129.014,45","155.336.708,02"
5,2021,jul,ASSISTENCIA SOCIAL,"168.275.437,00","10.751.732,08","83.583.363,75"
6,2021,jul,PREVIDENCIA SOCIAL,"1.066.196.589,00","81.041.723,69","602.849.281,31"
7,2021,jul,SAUDE,"2.712.207.410,00","248.877.742,31","1.539.551.457,85"
8,2021,jul,TRABALHO,"8.943.246,00","88.730,18","3.400.615,65"
9,2021,jul,EDUCACAO,"1.932.775.084,00","124.908.069,95","1.037.977.575,76"
10,2021,jul,CULTURA,"132.670.110,00","4.859.402,73","45.943.661,82"
11,2021,jul,DIREITOS DA CIDADANIA,"66.613.721,00","576.678,51","13.289.804,87"
12,2021,jul,URBANISMO,"815.664.177,00","76.125.938,49","491.034.286,66"
13,2021,jul,HABITACAO,"63.001.643,00","867.144,73","8.384.341,22"
14,2021,jul,SANEAMENTO,"58.477.000,00","17.475.568,27","77.046.316,30"
15,2021,jul,GESTAO AMBIENTAL,"82.306.334,00","11.503.793,31","46.534.528,24"
16,2021,jul,CIENCIA E TECNOLOGIA,"10.085.569,00","265.551,16","2.579.186,60"
17,2021,jul,AGRICULTURA,"276.000,00","0,00","0,00"
18,2021,jul,COMERCIO E SERVICOS,"13.772.775,00","240.840,05","1.966.350,28"
19,2021,jul,COMUNICACOES,"11.037.500,00","0,00","6.678.072,48"
20,2021,jul,ENERGIA,"82.940.000,00","11.287.483,18","52.338.383,01"
21,2021,jul,DESPORTO E LAZER,"22.502.512,00","2.513.436,91","6.214.000,61"
22,2021,jul,ENCARGOS ESPECIAIS,"431.727.221,00","8.348.733,16","228.175.380,74"
23,2021,jul,RESERVA DE CONTINGENCIA,"4.941.000,00","0,00","0,00"
24,2021,jul,TOTAIS,"9.099.978.819,00","684.846.132,40","4.951.699.719,54"
0,2021,jun,LEGISLATIVA,"204.693.321,00","15.682.760,89","116.295.794,15"
1,2021,jun,JUDICIARIA,"50.867.225,00","4.431.985,35","22.644.795,33"
2,2021,jun,ESSENCIAL A JUSTICA,"834.579,00","0,00","59.837,47"
3,2021,jun,ADMINISTRACAO,"814.576.625,00","68.011.286,52","342.831.428,18"
4,2021,jun,SEGURANCA PUBLICA,"344.593.741,00","26.356.150,17","137.207.693,57"
5,2021,jun,ASSISTENCIA SOCIAL,"168.275.437,00","9.506.404,55","72.831.631,67"
6,2021,jun,PREVIDENCIA SOCIAL,"1.066.196.589,00","112.433.555,83","521.807.557,62"
7,2021,jun,SAUDE,"2.712.207.410,00","235.968.715,02","1.290.673.715,54"
8,2021,jun,TRABALHO,"8.943.246,00","145.928,00","3.311.885,47"
9,2021,jun,EDUCACAO,"1.932.775.084,00","190.510.665,09","913.069.505,81"
10,2021,jun,CULTURA,"132.670.110,00","8.907.106,50","41.084.259,09"
11,2021,jun,DIREITOS DA CIDADANIA,"66.613.721,00","1.998.290,83","12.713.126,36"
12,2021,jun,URBANISMO,"815.664.177,00","65.156.010,53","414.908.348,17"
13,2021,jun,HABITACAO,"63.001.643,00","1.152.931,92","7.517.196,49"
14,2021,jun,SANEAMENTO,"58.477.000,00","2.811.788,62","59.570.748,03"
15,2021,jun,GESTAO AMBIENTAL,"82.306.334,00","8.233.075,74","35.030.734,93"
16,2021,jun,CIENCIA E TECNOLOGIA,"10.085.569,00","356.678,44","2.313.635,44"
17,2021,jun,AGRICULTURA,"276.000,00","0,00","0,00"
18,2021,jun,COMERCIO E SERVICOS,"13.772.775,00","356.357,34","1.725.510,23"
19,2021,jun,COMUNICACOES,"11.037.500,00","0,00","6.678.072,48"
20,2021,jun,ENERGIA,"82.940.000,00","6.307.577,80","41.050.899,83"
21,2021,jun,DESPORTO E LAZER,"22.502.512,00","1.093.826,60","3.700.563,70"
22,2021,jun,ENCARGOS ESPECIAIS,"431.727.221,00","50.579.739,94","219.826.647,58"
23,2021,jun,RESERVA DE CONTINGENCIA,"4.941.000,00","0,00","0,00"
24,2021,jun,TOTAIS,"9.099.978.819,00","810.000.835,68","4.266.853.587,14"
0,2021,mai,LEGISLATIVA,"204.693.321,00","13.132.547,15","100.613.033,26"
1,2021,mai,JUDICIARIA,"50.867.225,00","3.541.290,52","18.212.809,98"
2,2021,mai,ESSENCIAL A JUSTICA,"834.579,00","0,00","59.837,47"
3,2021,mai,ADMINISTRACAO,"814.576.625,00","45.316.054,23","274.820.141,66"
4,2021,mai,SEGURANCA PUBLICA,"344.593.741,00","18.647.293,12","110.851.543,40"
5,2021,mai,ASSISTENCIA SOCIAL,"168.275.437,00","16.922.315,82","63.325.227,12"
6,2021,mai,PREVIDENCIA SOCIAL,"1.066.196.589,00","81.396.672,49","409.374.001,79"
7,2021,mai,SAUDE,"2.712.207.410,00","233.222.454,27","1.054.705.000,52"
8,2021,mai,TRABALHO,"8.943.246,00","766.441,17","3.165.957,47"
9,2021,mai,EDUCACAO,"1.932.775.084,00","144.539.428,37","722.558.840,72"
10,2021,mai,CULTURA,"132.670.110,00","5.993.816,52","32.177.152,59"
11,2021,mai,DIREITOS DA CIDADANIA,"66.613.721,00","1.379.432,96","10.714.835,53"
12,2021,mai,URBANISMO,"815.664.177,00","79.685.350,61","349.752.337,64"
13,2021,mai,HABITACAO,"63.001.643,00","893.748,93","6.364.264,57"
14,2021,mai,SANEAMENTO,"58.477.000,00","15.612.417,78","56.758.959,41"
15,2021,mai,GESTAO AMBIENTAL,"82.306.334,00","6.624.095,42","26.797.659,19"
16,2021,mai,CIENCIA E TECNOLOGIA,"10.085.569,00","510.177,56","1.956.957,00"
17,2021,mai,AGRICULTURA,"276.000,00","0,00","0,00"
18,2021,mai,COMERCIO E SERVICOS,"13.772.775,00","243.896,68","1.369.152,89"
19,2021,mai,COMUNICACOES,"11.037.500,00","3.981.707,40","6.678.072,48"
20,2021,mai,ENERGIA,"82.940.000,00","7.651.370,28","34.743.322,03"
21,2021,mai,DESPORTO E LAZER,"22.502.512,00","1.603.434,93","2.606.737,10"
22,2021,mai,ENCARGOS ESPECIAIS,"431.727.221,00","42.589.405,47","169.246.907,64"
23,2021,mai,RESERVA DE CONTINGENCIA,"4.941.000,00","0,00","0,00"
24,2021,mai,TOTAIS,"9.099.978.819,00","724.253.351,68","3.456.852.751,46"
0,2021,abr,LEGISLATIVA,"204.693.321,00","9.051.121,67","87.480.486,11"
1,2021,abr,JUDICIARIA,"50.867.225,00","3.613.827,46","14.671.519,46"
2,2021,abr,ESSENCIAL A JUSTICA,"834.579,00","54.446,41","59.837,47"
3,2021,abr,ADMINISTRACAO,"814.576.625,00","60.392.430,57","229.504.087,43"
4,2021,abr,SEGURANCA PUBLICA,"344.593.741,00","20.541.000,11","92.204.250,28"
5,2021,abr,ASSISTENCIA SOCIAL,"168.275.437,00","15.858.297,03","46.402.911,30"
6,2021,abr,PREVIDENCIA SOCIAL,"1.066.196.589,00","82.077.887,56","327.977.329,30"
7,2021,abr,SAUDE,"2.712.207.410,00","223.274.386,88","821.482.546,25"
8,2021,abr,TRABALHO,"8.943.246,00","364.230,47","2.399.516,30"
9,2021,abr,EDUCACAO,"1.932.775.084,00","163.373.472,63","578.019.412,35"
10,2021,abr,CULTURA,"132.670.110,00","4.246.498,78","26.183.336,07"
11,2021,abr,DIREITOS DA CIDADANIA,"66.613.721,00","3.634.906,14","9.335.402,57"
12,2021,abr,URBANISMO,"815.664.177,00","74.424.160,46","270.066.987,03"
13,2021,abr,HABITACAO,"63.001.643,00","1.260.959,61","5.470.515,64"
14,2021,abr,SANEAMENTO,"58.477.000,00","4.040.867,17","41.146.541,63"
15,2021,abr,GESTAO AMBIENTAL,"82.306.334,00","4.934.470,30","20.173.563,77"
16,2021,abr,CIENCIA E TECNOLOGIA,"10.085.569,00","269.151,62","1.446.779,44"
17,2021,abr,AGRICULTURA,"276.000,00","0,00","0,00"
18,2021,abr,COMERCIO E SERVICOS,"13.772.775,00","205.073,69","1.125.256,21"
19,2021,abr,COMUNICACOES,"11.037.500,00","796.341,48","2.696.365,08"
20,2021,abr,ENERGIA,"82.940.000,00","7.288.879,29","27.091.951,75"
21,2021,abr,DESPORTO E LAZER,"22.502.512,00","118.267,48","1.003.302,17"
22,2021,abr,ENCARGOS ESPECIAIS,"431.727.221,00","37.322.080,95","126.657.502,17"
23,2021,abr,RESERVA DE CONTINGENCIA,"4.941.000,00","0,00","0,00"
24,2021,abr,TOTAIS,"9.099.978.819,00","717.142.757,76","2.732.599.399,78"
0,2021,mar,LEGISLATIVA,"204.693.321,00","10.719.971,76","78.429.364,44"
1,2021,mar,JUDICIARIA,"50.867.225,00","3.585.612,70","11.057.692,00"
2,2021,mar,ESSENCIAL A JUSTICA,"834.579,00","5.391,06","5.391,06"
3,2021,mar,ADMINISTRACAO,"814.576.625,00","62.181.500,61","169.111.656,86"
4,2021,mar,SEGURANCA PUBLICA,"344.593.741,00","23.991.570,35","71.663.250,17"
5,2021,mar,ASSISTENCIA SOCIAL,"168.275.437,00","17.296.957,61","30.544.614,27"
6,2021,mar,PREVIDENCIA SOCIAL,"1.066.196.589,00","83.159.675,37","245.899.441,74"
7,2021,mar,SAUDE,"2.712.207.410,00","263.738.850,60","598.208.159,37"
8,2021,mar,TRABALHO,"8.943.246,00","1.899.487,10","2.035.285,83"
9,2021,mar,EDUCACAO,"1.932.775.084,00","185.685.515,92","414.645.939,72"
10,2021,mar,CULTURA,"132.670.110,00","10.728.365,77","21.936.837,29"
11,2021,mar,DIREITOS DA CIDADANIA,"66.613.721,00","1.232.085,97","5.700.496,43"
12,2021,mar,URBANISMO,"815.664.177,00","74.667.803,12","195.642.826,57"
13,2021,mar,HABITACAO,"63.001.643,00","1.760.782,05","4.209.556,03"
14,2021,mar,SANEAMENTO,"58.477.000,00","630.621,39","37.105.674,46"
15,2021,mar,GESTAO AMBIENTAL,"82.306.334,00","5.001.524,35","15.239.093,47"
16,2021,mar,CIENCIA E TECNOLOGIA,"10.085.569,00","227.164,26","1.177.627,82"
17,2021,mar,AGRICULTURA,"276.000,00","0,00","0,00"
18,2021,mar,COMERCIO E SERVICOS,"13.772.775,00","232.480,17","920.182,52"
19,2021,mar,COMUNICACOES,"11.037.500,00","950.011,80","1.900.023,60"
20,2021,mar,ENERGIA,"82.940.000,00","6.847.416,34","19.803.072,46"
21,2021,mar,DESPORTO E LAZER,"22.502.512,00","782.994,64","885.034,69"
22,2021,mar,ENCARGOS ESPECIAIS,"431.727.221,00","34.362.005,66","89.335.421,22"
23,2021,mar,RESERVA DE CONTINGENCIA,"4.941.000,00","0,00","0,00"
24,2021,mar,TOTAIS,"9.099.978.819,00","789.687.788,60","2.015.456.642,02"
0,2021,fev,LEGISLATIVA,"204.693.321,00","11.178.744,28","67.709.392,68"
1,2021,fev,JUDICIARIA,"50.867.225,00","3.963.416,43","7.472.079,30"
2,2021,fev,ESSENCIAL A JUSTICA,"834.579,00","0,00","0,00"
3,2021,fev,ADMINISTRACAO,"814.576.625,00","57.150.226,76","106.930.156,25"
4,2021,fev,SEGURANCA PUBLICA,"344.593.741,00","34.339.573,08","47.671.679,82"
5,2021,fev,ASSISTENCIA SOCIAL,"168.275.437,00","10.829.079,40","13.247.656,66"
6,2021,fev,PREVIDENCIA SOCIAL,"1.066.196.589,00","82.158.524,73","162.739.766,37"
7,2021,fev,SAUDE,"2.712.207.410,00","196.743.635,16","334.469.308,77"
8,2021,fev,TRABALHO,"8.943.246,00","92.508,62","135.798,73"
9,2021,fev,EDUCACAO,"1.932.775.084,00","130.021.309,79","228.960.423,80"
10,2021,fev,CULTURA,"132.670.110,00","10.828.028,24","11.208.471,52"
11,2021,fev,DIREITOS DA CIDADANIA,"66.613.721,00","959.985,90","4.468.410,46"
12,2021,fev,URBANISMO,"815.664.177,00","114.978.809,42","120.975.023,45"
13,2021,fev,HABITACAO,"63.001.643,00","1.602.889,33","2.448.773,98"
14,2021,fev,SANEAMENTO,"58.477.000,00","36.475.053,07","36.475.053,07"
15,2021,fev,GESTAO AMBIENTAL,"82.306.334,00","5.656.563,82","10.237.569,12"
16,2021,fev,CIENCIA E TECNOLOGIA,"10.085.569,00","773.713,55","950.463,56"
17,2021,fev,AGRICULTURA,"276.000,00","0,00","0,00"
18,2021,fev,COMERCIO E SERVICOS,"13.772.775,00","430.542,55","687.702,35"
19,2021,fev,COMUNICACOES,"11.037.500,00","950.011,80","950.011,80"
20,2021,fev,ENERGIA,"82.940.000,00","7.948.784,28","12.955.656,12"
21,2021,fev,DESPORTO E LAZER,"22.502.512,00","101.988,42","102.040,05"
22,2021,fev,ENCARGOS ESPECIAIS,"431.727.221,00","23.208.090,64","54.973.415,56"
23,2021,fev,RESERVA DE CONTINGENCIA,"4.941.000,00","0,00","0,00"
24,2021,fev,TOTAIS,"9.099.978.819,00","730.391.479,27","1.225.768.853,42"
0,2021,jan,LEGISLATIVA,"204.693.321,00","56.530.648,40","56.530.648,40"
1,2021,jan,JUDICIARIA,"50.867.225,00","3.508.662,87","3.508.662,87"
2,2021,jan,ESSENCIAL A JUSTICA,"834.579,00","0,00","0,00"
3,2021,jan,ADMINISTRACAO,"814.576.625,00","49.779.929,49","49.779.929,49"
4,2021,jan,SEGURANCA PUBLICA,"344.593.741,00","13.332.106,74","13.332.106,74"
5,2021,jan,ASSISTENCIA SOCIAL,"168.275.437,00","2.418.577,26","2.418.577,26"
6,2021,jan,PREVIDENCIA SOCIAL,"1.066.196.589,00","80.581.241,64","80.581.241,64"
7,2021,jan,SAUDE,"2.712.207.410,00","137.725.673,61","137.725.673,61"
8,2021,jan,TRABALHO,"8.943.246,00","43.290,11","43.290,11"
9,2021,jan,EDUCACAO,"1.932.775.084,00","98.939.114,01","98.939.114,01"
10,2021,jan,CULTURA,"132.670.110,00","380.443,28","380.443,28"
11,2021,jan,DIREITOS DA CIDADANIA,"66.613.721,00","3.508.424,56","3.508.424,56"
12,2021,jan,URBANISMO,"815.664.177,00","5.996.214,03","5.996.214,03"
13,2021,jan,HABITACAO,"63.001.643,00","845.884,65","845.884,65"
14,2021,jan,SANEAMENTO,"58.477.000,00","0,00","0,00"
15,2021,jan,GESTAO AMBIENTAL,"82.306.334,00","4.581.005,30","4.581.005,30"
16,2021,jan,CIENCIA E TECNOLOGIA,"10.085.569,00","176.750,01","176.750,01"
17,2021,jan,AGRICULTURA,"276.000,00","0,00","0,00"
18,2021,jan,COMERCIO E SERVICOS,"13.772.775,00","257.159,80","257.159,80"
19,2021,jan,COMUNICACOES,"11.037.500,00","0,00","0,00"
20,2021,jan,ENERGIA,"82.940.000,00","5.006.871,84","5.006.871,84"
21,2021,jan,DESPORTO E LAZER,"22.502.512,00","51,63","51,63"
22,2021,jan,ENCARGOS ESPECIAIS,"431.727.221,00","31.765.324,92","31.765.324,92"
23,2021,jan,RESERVA DE CONTINGENCIA,"4.941.000,00","0,00","0,00"
24,2021,jan,TOTAIS,"9.099.978.819,00","495.377.374,15","495.377.374,15"
