,ano,mes,descrição da despesa,Valor Anual Previsto na LOA,valor mensal empenhado,Valor Acumulado
0,2021,dez,LEGISLATIVA,"204.693.321,00","17.206.081,27","188.833.926,22"
1,2021,dez,JUDICIARIA,"50.867.225,00","6.609.096,43","50.235.890,43"
2,2021,dez,ESSENCIAL A JUSTICA,"834.579,00","0,00","147.243,15"
3,2021,dez,ADMINISTRACAO,"814.576.625,00","48.293.113,74","729.514.166,31"
4,2021,dez,SEGURANCA PUBLICA,"344.593.741,00","23.230.918,42","289.002.181,28"
5,2021,dez,ASSISTENCIA SOCIAL,"168.275.437,00","6.586.687,81","142.218.416,78"
6,2021,dez,PREVIDENCIA SOCIAL,"1.066.196.589,00","127.667.151,83","1.065.216.998,53"
7,2021,dez,SAUDE,"2.712.207.410,00","191.561.141,14","2.773.182.702,12"
8,2021,dez,TRABALHO,"8.943.246,00","-202.364,36","3.450.744,82"
9,2021,dez,EDUCACAO,"1.932.775.084,00","252.519.914,42","2.114.060.590,89"
10,2021,dez,CULTURA,"132.670.110,00","5.435.792,17","83.328.486,20"
11,2021,dez,DIREITOS DA CIDADANIA,"66.613.721,00","4.691.366,03","34.498.919,63"
12,2021,dez,URBANISMO,"815.664.177,00","933.131,22","925.313.289,49"
13,2021,dez,HABITACAO,"63.001.643,00","1.484.854,56","15.592.749,67"
14,2021,dez,SANEAMENTO,"58.477.000,00","2.146.384,25","160.811.880,29"
15,2021,dez,GESTAO AMBIENTAL,"82.306.334,00","7.406.406,89","80.526.195,68"
16,2021,dez,CIENCIA E TECNOLOGIA,"10.085.569,00","370.689,31","4.676.948,65"
17,2021,dez,AGRICULTURA,"276.000,00","0,00","0,00"
18,2021,dez,COMERCIO E SERVICOS,"13.772.775,00","352.095,21","3.472.200,14"
19,2021,dez,COMUNICACOES,"11.037.500,00","0,00","10.132.820,31"
20,2021,dez,ENERGIA,"82.940.000,00","-7.307.022,55","106.723.683,75"
21,2021,dez,DESPORTO E LAZER,"22.502.512,00","207.676,30","11.649.624,01"
22,2021,dez,ENCARGOS ESPECIAIS,"431.727.221,00","53.353.469,41","414.533.225,77"
23,2021,dez,RESERVA DE CONTINGENCIA,"4.941.000,00","0,00","0,00"
24,2021,dez,TOTAIS,"9.099.978.819,00","742.546.583,50","9.207.122.884,12"
0,2021,nov,LEGISLATIVA,"204.693.321,00","11.437.158,61","171.627.844,95"
1,2021,nov,JUDICIARIA,"50.867.225,00","4.700.719,51","43.626.794,00"
2,2021,nov,ESSENCIAL A JUSTICA,"834.579,00","77.741,68","147.243,15"
3,2021,nov,ADMINISTRACAO,"814.576.625,00","109.786.798,83","681.221.052,57"
4,2021,nov,SEGURANCA PUBLICA,"344.593.741,00","50.721.641,20","265.771.262,86"
5,2021,nov,ASSISTENCIA SOCIAL,"168.275.437,00","20.110.580,73","135.631.728,97"
6,2021,nov,PREVIDENCIA SOCIAL,"1.066.196.589,00","88.521.008,11","937.549.846,70"
7,2021,nov,SAUDE,"2.712.207.410,00","387.607.517,28","2.581.621.560,98"
8,2021,nov,TRABALHO,"8.943.246,00","129.480,56","3.653.109,18"
9,2021,nov,EDUCACAO,"1.932.775.084,00","260.332.194,78","1.861.540.676,47"
10,2021,nov,CULTURA,"132.670.110,00","15.715.574,21","77.892.694,03"
11,2021,nov,DIREITOS DA CIDADANIA,"66.613.721,00","7.503.347,28","29.807.553,60"
12,2021,nov,URBANISMO,"815.664.177,00","199.107.322,59","924.380.158,27"
13,2021,nov,HABITACAO,"63.001.643,00","2.162.298,98","14.107.895,11"
14,2021,nov,SANEAMENTO,"58.477.000,00","51.707.976,51","158.665.496,04"
15,2021,nov,GESTAO AMBIENTAL,"82.306.334,00","7.676.696,29","73.119.788,79"
16,2021,nov,CIENCIA E TECNOLOGIA,"10.085.569,00","706.231,33","4.306.259,34"
17,2021,nov,AGRICULTURA,"276.000,00","0,00","0,00"
18,2021,nov,COMERCIO E SERVICOS,"13.772.775,00","429.494,67","3.120.104,93"
19,2021,nov,COMUNICACOES,"11.037.500,00","2.624.406,69","10.132.820,31"
20,2021,nov,ENERGIA,"82.940.000,00","33.128.055,97","114.030.706,30"
21,2021,nov,DESPORTO E LAZER,"22.502.512,00","1.814.219,15","11.441.947,71"
22,2021,nov,ENCARGOS ESPECIAIS,"431.727.221,00","66.050.114,37","361.179.756,36"
23,2021,nov,RESERVA DE CONTINGENCIA,"4.941.000,00","0,00","0,00"
24,2021,nov,TOTAIS,"9.099.978.819,00","1.322.050.579,33","8.464.576.300,62"
0,2021,out,LEGISLATIVA,"204.693.321,00","8.820.650,99","160.190.686,34"
1,2021,out,JUDICIARIA,"50.867.225,00","4.070.340,35","38.926.074,49"
2,2021,out,ESSENCIAL A JUSTICA,"834.579,00","0,00","69.501,47"
3,2021,out,ADMINISTRACAO,"814.576.625,00","63.426.654,96","571.434.253,74"
4,2021,out,SEGURANCA PUBLICA,"344.593.741,00","17.359.299,84","215.049.621,66"
5,2021,out,ASSISTENCIA SOCIAL,"168.275.437,00","10.552.396,91","115.521.148,24"
6,2021,out,PREVIDENCIA SOCIAL,"1.066.196.589,00","82.497.509,93","849.028.838,59"
7,2021,out,SAUDE,"2.712.207.410,00","225.467.344,07","2.194.014.043,70"
8,2021,out,TRABALHO,"8.943.246,00","39.763,50","3.523.628,62"
9,2021,out,EDUCACAO,"1.932.775.084,00","176.372.121,77","1.601.208.481,69"
10,2021,out,CULTURA,"132.670.110,00","7.306.351,50","62.177.119,82"
11,2021,out,DIREITOS DA CIDADANIA,"66.613.721,00","4.083.279,41","22.304.206,32"
12,2021,out,URBANISMO,"815.664.177,00","86.379.655,69","725.272.835,68"
13,2021,out,HABITACAO,"63.001.643,00","1.288.792,24","11.945.596,13"
14,2021,out,SANEAMENTO,"58.477.000,00","14.057.844,09","106.957.519,53"
15,2021,out,GESTAO AMBIENTAL,"82.306.334,00","5.887.917,47","65.443.092,50"
16,2021,out,CIENCIA E TECNOLOGIA,"10.085.569,00","525.858,36","3.600.028,01"
17,2021,out,AGRICULTURA,"276.000,00","0,00","0,00"
18,2021,out,COMERCIO E SERVICOS,"13.772.775,00","236.311,45","2.690.610,26"
19,2021,out,COMUNICACOES,"11.037.500,00","830.341,14","7.508.413,62"
20,2021,out,ENERGIA,"82.940.000,00","17.152.077,53","80.902.650,33"
21,2021,out,DESPORTO E LAZER,"22.502.512,00","2.596.388,77","9.627.728,56"
22,2021,out,ENCARGOS ESPECIAIS,"431.727.221,00","28.527.131,43","295.129.641,99"
23,2021,out,RESERVA DE CONTINGENCIA,"4.941.000,00","0,00","0,00"
24,2021,out,TOTAIS,"9.099.978.819,00","757.478.031,40","7.142.525.721,29"
