ano,Dotação Orçamentária,Valor Empenhado,Valor Liquidado,Valor Pago,função / subfunção,valor_pago_corrigido,valor_empenhado_corrigido,valor_liquidado_corrigido
2016,2148674.0,240604.74,112203.21,112203.21,INFRA-ESTRUTURA URBANA,155291.62029455366,333002.0587214021,155291.62029455366
2016,802000.0,0.0,0.0,0.0,DESPORTO COMUNITARIO,0.0,0.0,0.0
2015,24532065.0,21236437.43,21132017.44,20724053.97,ADMINISTRACAO GERAL,30486083.94605365,31239824.753558867,31086217.906877507
2015,85000.0,80025.0,80025.0,80025.0,TECNOLOGIA DA INFORMATIZACAO,117720.63860259014,117720.63860259014,117720.63860259014
2015,3394472.0,134709.0,134709.0,134709.0,"PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO",198163.44274309673,198163.44274309673,198163.44274309673
2015,25305971.0,10608341.55,10511641.55,8501457.77,DIFUSAO CULTURAL,12506054.829582654,15605382.590195453,15463132.22152478
2015,1550000.0,0.0,0.0,0.0,INFRA-ESTRUTURA URBANA,0.0,0.0,0.0
2015,999000.0,196279.21,196279.21,196279.21,DESPORTO COMUNITARIO,288736.1942594426,288736.1942594426,288736.1942594426
2014,30293643.0,17959184.64,17959184.64,15888448.95,ADMINISTRACAO GERAL,25867247.73054896,29238516.584184874,29238516.584184874
2014,21000.0,0.0,0.0,0.0,"PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO",0.0,0.0,0.0
2014,40519754.0,26687171.91,24812452.65,21695922.53,DIFUSAO CULTURAL,35322126.44496734,43448148.34954154,40396004.76546617
2014,5140.0,0.0,0.0,0.0,"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS",0.0,0.0,0.0
2014,2249000.0,173802.97,173802.97,173802.97,DESPORTO COMUNITARIO,282960.5643347061,282960.5643347061,282960.5643347061
2014,160000.0,0.0,0.0,0.0,LAZER,0.0,0.0,0.0
