ano,ADMINISTRACAO GERAL,ASSISTENCIA A CRIANCA E AO ADOLESCENTE,DESPORTO COMUNITARIO,DIFUSAO CULTURAL,"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS",FORMACAO DE RECURSOS HUMANOS,INFRA-ESTRUTURA URBANA,LAZER,"PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO",TECNOLOGIA DA INFORMACAO,TECNOLOGIA DA INFORMATIZACAO
2014,25867247.73054896,0.0,282960.5643347061,35322126.44496734,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,30486083.94605365,0.0,288736.1942594426,12506054.829582654,0.0,0.0,0.0,0.0,198163.44274309673,0.0,117720.63860259014
2016,37328442.590471976,0.0,0.0,22386918.94892952,0.0,0.0,155291.62029455366,0.0,715538.9555457839,0.0,0.0
2017,36809931.31139401,0.0,0.0,16665469.599092253,0.0,0.0,1789478.810652441,0.0,71252.9970751313,30361.03649333057,0.0
2018,20331237.80431733,2758499.2745532403,0.0,12828387.533046871,29888622.487517416,0.0,6961005.823722398,0.0,2702272.7417467716,0.0,0.0
2019,47047625.38241118,5000693.968283051,0.0,28805555.201099068,0.0,0.0,3715755.882426634,0.0,76529.42474507778,2672.069589962878,0.0
2020,39219837.73284164,4487020.966343877,0.0,68532965.11425984,0.0,0.0,41956741.742219806,0.0,1579972.0178503182,0.0,0.0
2021,17683558.048510287,3422765.138567248,0.0,37419086.131072395,0.0,0.0,20208961.210575014,0.0,370646.9512493546,97271.24240233724,0.0
2022,20301606.91298176,6027644.629962589,0.0,7888563.875009322,0.0,0.0,0.0,0.0,624089.944167381,0.0,0.0
