ano,ADMINISTRACAO GERAL,DIFUSAO CULTURAL,Outras
2014,25867247.73054896,35322126.44496734,282960.5643347061
2015,30486083.94605365,12506054.829582654,604620.2756051295
2016,37328442.590471976,22386918.94892952,870830.5758403376
2017,36809931.31139401,16665469.599092253,1891092.844220903
2018,20331237.80431733,12828387.533046871,42310400.327539824
2019,47047625.38241118,28805555.201099068,8795651.345044725
2020,39219837.73284164,68532965.11425984,48023734.726414
2021,17683558.048510287,37419086.131072395,24099644.542793952
2022,20301606.91298176,7888563.875009322,6651734.57412997
